Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
50.005,1.55154508,-1.3806937,93.21312869,0.58725507,0.95249785,-0.94428029,24.40750231,1.02356721,-8.84596807,-23.66562065,7.50569575,-3.41852259,0,-3.25355583,-5.70948137,-6.73414854,-46.28433639,-9.92205039,1.60842135,0,0,0,0
50.01,1.67746745,-1.41800624,93.25714836,0.58779655,0.95323431,-0.94425791,24.05107801,1.20234112,-8.89313027,-23.73612893,7.95530057,-3.3272486,0,-2.29524143,-5.94716825,-6.7324154,-47.88323727,-10.8034055,0.48866183,0,0,0,0
50.015,1.79339793,-1.45593035,93.30452083,0.58829917,0.95399357,-0.9441814,23.67599327,1.36514635,-8.96273001,-23.76792552,8.40958571,-3.2023353,0,-1.31635274,-6.15794627,-6.71393036,-49.45386763,-11.55725796,-0.68248845,0,0,0,0
50.02,1.90625212,-1.4873586,93.35122823,0.58876761,0.95477579,-0.94406408,23.27567848,1.5202848,-9.05681084,-23.7629201,8.85860306,-3.04773369,0,-0.32995855,-6.35075057,-6.68930591,-50.98852897,-12.16899034,-1.89431877,0,0,0,0
50.025,2.01479384,-1.50125054,93.40977771,0.5892094,0.95560386,-0.94392022,22.83240609,1.66892407,-9.17478727,-23.71122788,9.29561912,-2.9030069,0,0.64879124,-6.52646512,-6.64702691,-52.4752763,-12.63467854,-3.12369165,0,0,0,0
50.03,2.11464166,-1.51476189,93.45850662,0.58962311,0.95644469,-0.94374218,22.37452651,1.80862257,-9.29485121,-23.6283525,9.72232387,-2.73028712,0,1.63097038,-6.67488075,-6.60779326,-53.90866639,-12.94219606,-4.36880044,0,0,0,0
50.035,2.20662378,-1.51787579,93.50159154,0.59000848,0.95731224,-0.94353765,21.88993789,1.9407458,-9.42131231,-23.51271845,10.13433093,-2.54524801,0,2.60228394,-6.79903005,-6.57015676,-55.27994064,-13.09185915,-5.60593242,0,0,0,0
50.04,2.28285447,-1.51575467,93.53106038,0.59037578,0.9581839,-0.94329686,21.39955199,2.05489579,-9.56001823,-23.39269156,10.53530088,-2.34488501,0,3.56442604,-6.89167224,-6.54549199,-56.58468686,-13.08274899,-6.8296578,0,0,0,0
50.045,2.35210441,-1.50373426,93.55884594,0.59071873,0.9590911,-0.94304709,20.87652714,2.16607205,-9.68645592,-23.22842423,10.90991391,-2.13707266,0,4.51129165,-6.95866221,-6.51013177,-57.81384414,-12.94158543,-8.00976894,0,0,0,0
50.05,2.4283825,-1.47112286,93.58271361,0.59106126,0.96005015,-0.94280561,20.30114811,2.29609308,-9.79386901,-23.0016564,11.24088699,-1.9529183,0,5.42724526,-7.02325007,-6.47374779,-58.96208711,-12.67242152,-9.11295481,0,0,0,0
